Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v5   2448759.921 B 16.367
v5   2448759.935 B 16.330
v5   2448760.662 B 15.389
v5   2448760.686 B 15.559
v5   2448760.709 B 15.694
v5   2448760.723 B 15.780
v5   2448760.737 B 15.879
v5   2448760.752 B 15.965
v5   2448760.766 B 16.039
v5   2448760.780 B 16.080
v5   2448760.799 B 16.114
v5   2448760.824 B 16.223
v5   2448760.839 B 16.256
v5   2448760.858 B 16.318
v5   2448760.872 B 16.350
v5   2448760.900 B 16.301
v5   2449085.867 B 15.407
v5   2449085.880 B 15.506
v5   2449085.894 B 15.609
v5   2449085.908 B 15.685
v5   2449085.923 B 15.800
v5   2449085.938 B 15.861
v5   2449085.952 B 15.944
v5   2449086.663 B 16.402
v5   2449086.677 B 16.338
v5   2449086.691 B 16.359
v5   2449086.712 B 16.306
v5   2449086.728 B 16.258
v5   2449086.744 B 16.102
v5   2449086.789 B 15.370
v5   2449086.805 B 15.292
v5   2449086.822 B 15.232
v5   2449086.836 B 15.206
v5   2449086.850 B 15.235
v5   2449086.864 B 15.321
v5   2449086.878 B 15.419
v5   2449086.942 B 15.857
v5   2449086.956 B 15.915
v5   2449086.991 B 16.082
v5   2449087.005 B 16.150
v5   2449087.668 B 16.337
v5   2449087.709 B 16.344
v5   2449087.724 B 16.309
v5   2449087.737 B 16.226
v5   2449087.751 B 16.130
v5   2449087.765 B 15.908
v5   2449087.779 B 15.696
v5   2449087.792 B 15.501
v5   2449087.806 B 15.347
v5   2449087.872 B 15.347
v5   2449087.886 B 15.439
v5   2449087.919 B 15.649
v5   2449087.932 B 15.717
v5   2449087.945 B 15.826
v5   2449087.959 B 15.893
v5   2449087.972 B 15.970
v5   2449087.986 B 16.011
v5   2449088.000 B 16.056
v5   2449088.799 B 15.454
v5   2449088.813 B 15.279
v5   2449088.826 B 15.232
v5   2449088.840 B 15.254
v5   2449088.854 B 15.276
v5   2449088.870 B 15.319
v5   2449088.881 B 15.388
v5   2449088.905 B 15.520
v5   2449088.919 B 15.599
v5   2449088.936 B 15.705
v5   2449088.958 B 15.834
v5   2449088.972 B  9.000
v5   2449088.986 B 15.996
v5   2449088.999 B 16.050
v5   2449089.672 B 16.262
v5   2449089.692 B 16.281
v5   2449089.711 B 16.290
v5   2449089.730 B 16.283
v5   2449089.750 B 16.247
v5   2449089.769 B 16.066
v5   2449089.804 B 15.465
v5   2449089.833 B 15.321
v5   2449089.862 B 15.253
v5   2449089.950 B 15.775
v5   2449089.969 B 15.875
v5   2449089.988 B 15.981
v5   2449090.006 B 15.967
v5   2449090.661 B 16.305
v5   2449090.707 B 16.301
v5   2449090.724 B 16.313
v5   2449090.739 B 16.306
v5   2449090.769 B 16.226
v5   2449090.791 B 15.983
v5   2449090.809 B 15.581
v5   2449090.825 B 15.359
v5   2449090.842 B 15.275
v5   2449090.879 B 15.457
v5   2449090.895 B 15.459
v5   2449091.657 B 16.241
v5   2449091.671 B 16.286
v5   2449091.685 B 16.291
v5   2449091.699 B 16.269
v5   2449091.713 B 16.291
v5   2449091.727 B 16.301
v5   2449091.760 B 16.281
v5   2449091.787 B 16.149
v5   2449091.815 B 15.606
v5   2449091.835 B 15.338
v5   2449091.849 B 15.302
v5   2449091.862 B 15.306
v5   2449091.884 B 15.357
v5   2449091.906 B 15.444
v5   2449091.920 B 15.508
